# Alpha Energy Loss | 96% He + 4% CO2 @ 250 Torr
# Density: 7.660749e-05 g/cm3
# E_total(MeV) 	dE/dx(MeV/cm) 	Range(cm)
7.187189e+00	6.080043e-02	7.383021e+01
7.389367e+00	5.956643e-02	7.718995e+01
7.597233e+00	5.835282e-02	8.071590e+01
7.810946e+00	5.715932e-02	8.441659e+01
8.030671e+00	5.598567e-02	8.830098e+01
8.256577e+00	5.483164e-02	9.237853e+01
8.488837e+00	5.369698e-02	9.665919e+01
8.727632e+00	5.258146e-02	1.011535e+02
8.973143e+00	5.148486e-02	1.058724e+02
9.225561e+00	5.040698e-02	1.108276e+02
9.485080e+00	4.934762e-02	1.160313e+02
9.751899e+00	4.830657e-02	1.214965e+02
1.002622e+01	4.728365e-02	1.272368e+02
1.030826e+01	4.627866e-02	1.332665e+02
1.059824e+01	4.529142e-02	1.396007e+02
1.089637e+01	4.432176e-02	1.462552e+02
1.120289e+01	4.336949e-02	1.532470e+02
1.151803e+01	4.243444e-02	1.605935e+02
1.184204e+01	4.151642e-02	1.683134e+02
1.217516e+01	4.061526e-02	1.764263e+02
1.251765e+01	3.973079e-02	1.849528e+02
1.286978e+01	3.886282e-02	1.939146e+02
1.323181e+01	3.801117e-02	2.033347e+02
1.360403e+01	3.717566e-02	2.132370e+02
1.398671e+01	3.635611e-02	2.236471e+02
1.438017e+01	3.555233e-02	2.345916e+02
1.478468e+01	3.476413e-02	2.460988e+02
1.520058e+01	3.399133e-02	2.581983e+02
1.562818e+01	3.323372e-02	2.709214e+02
1.606781e+01	3.249112e-02	2.843010e+02
1.651980e+01	3.176332e-02	2.983717e+02
1.698451e+01	3.105012e-02	3.131702e+02
1.746229e+01	3.035133e-02	3.287348e+02
1.795351e+01	2.966673e-02	3.451061e+02
1.845855e+01	2.899612e-02	3.623268e+02
1.897780e+01	2.833929e-02	3.804419e+02
1.951165e+01	2.769603e-02	3.994986e+02
2.006052e+01	2.706613e-02	4.195470e+02
2.062483e+01	2.644937e-02	4.406395e+02
2.120501e+01	2.584555e-02	4.628315e+02
2.180152e+01	2.525445e-02	4.861813e+02
2.241480e+01	2.467585e-02	5.107504e+02
2.304534e+01	2.410954e-02	5.366035e+02
2.369362e+01	2.355531e-02	5.638086e+02
