# Proton Energy Loss | 96% He + 4% CO2 @ 250 Torr
# Density: 7.660749e-05 g/cm3
# E_total(MeV) 	dE/dx(MeV/cm) 	Range(cm)
1.809636e+00	1.498869e-02	7.222559e+01
1.860542e+00	1.468332e-02	7.565721e+01
1.912879e+00	1.438335e-02	7.925884e+01
1.966690e+00	1.408869e-02	8.303912e+01
2.022013e+00	1.379925e-02	8.700715e+01
2.078893e+00	1.351496e-02	9.117250e+01
2.137373e+00	1.323573e-02	9.554523e+01
2.197498e+00	1.296148e-02	1.001360e+02
2.259315e+00	1.269215e-02	1.049558e+02
2.322870e+00	1.242765e-02	1.100166e+02
2.388214e+00	1.216792e-02	1.153307e+02
2.455395e+00	1.191288e-02	1.209110e+02
2.524466e+00	1.166246e-02	1.267713e+02
2.595480e+00	1.141661e-02	1.329260e+02
2.668492e+00	1.117525e-02	1.393904e+02
2.743558e+00	1.093831e-02	1.461803e+02
2.820735e+00	1.070574e-02	1.533127e+02
2.900083e+00	1.047747e-02	1.608052e+02
2.981664e+00	1.025345e-02	1.686766e+02
3.065539e+00	1.003360e-02	1.769465e+02
3.151774e+00	9.817869e-03	1.856355e+02
3.240435e+00	9.606199e-03	1.947656e+02
3.331589e+00	9.398531e-03	2.043597e+02
3.425308e+00	9.194805e-03	2.144418e+02
3.521663e+00	8.994964e-03	2.250376e+02
3.620729e+00	8.798952e-03	2.361738e+02
3.722582e+00	8.606711e-03	2.478787e+02
3.827299e+00	8.418186e-03	2.601820e+02
3.934963e+00	8.233322e-03	2.731150e+02
4.045655e+00	8.052062e-03	2.867108e+02
4.159461e+00	7.874353e-03	3.010041e+02
4.276468e+00	7.700139e-03	3.160316e+02
4.396766e+00	7.529368e-03	3.318317e+02
4.520449e+00	7.361986e-03	3.484453e+02
4.647611e+00	7.197939e-03	3.659150e+02
4.778350e+00	7.037176e-03	3.842859e+02
4.912767e+00	6.879643e-03	4.036057e+02
5.050965e+00	6.725289e-03	4.239243e+02
5.193051e+00	6.574063e-03	4.452944e+02
5.339133e+00	6.425913e-03	4.677718e+02
5.489325e+00	6.280789e-03	4.914147e+02
5.643742e+00	6.138641e-03	5.162851e+02
5.802502e+00	5.999419e-03	5.424478e+02
5.965729e+00	5.863074e-03	5.699714e+02
6.133547e+00	5.729557e-03	5.989279e+02
6.306086e+00	5.598819e-03	6.293935e+02
6.483479e+00	5.470812e-03	6.614483e+02
6.665861e+00	5.345490e-03	6.951767e+02
6.853375e+00	5.222804e-03	7.306676e+02
7.046163e+00	5.102709e-03	7.680150e+02
7.244374e+00	4.985158e-03	8.073174e+02
7.448161e+00	4.870106e-03	8.486793e+02
7.657681e+00	4.757507e-03	8.922102e+02
7.873094e+00	4.647318e-03	9.380258e+02
8.094567e+00	4.539494e-03	9.862481e+02
8.322270e+00	4.433991e-03	1.037006e+03
8.556379e+00	4.330766e-03	1.090434e+03
8.797073e+00	4.229778e-03	1.146675e+03
9.044538e+00	4.130983e-03	1.205881e+03
9.298965e+00	4.034341e-03	1.268208e+03
9.560548e+00	3.939811e-03	1.333826e+03
9.829490e+00	3.847351e-03	1.402909e+03
1.010600e+01	3.756808e-03	1.475644e+03
1.039028e+01	3.667293e-03	1.552240e+03
1.068257e+01	3.579867e-03	1.632913e+03
1.098307e+01	3.494490e-03	1.717882e+03
1.129203e+01	3.411128e-03	1.807376e+03
1.160968e+01	3.329742e-03	1.901636e+03
1.193626e+01	3.250297e-03	2.000917e+03
1.227203e+01	3.172757e-03	2.105485e+03
1.261725e+01	3.097086e-03	2.215622e+03
1.297218e+01	3.023249e-03	2.331623e+03
1.333709e+01	2.951212e-03	2.453799e+03
1.371227e+01	2.880940e-03	2.582477e+03
1.409800e+01	2.812400e-03	2.718001e+03
1.449458e+01	2.745559e-03	2.860730e+03
1.490232e+01	2.680385e-03	3.011046e+03
1.532153e+01	2.616845e-03	3.169345e+03
1.575253e+01	2.554909e-03	3.336045e+03
1.619565e+01	2.494545e-03	3.511586e+03
1.665124e+01	2.435724e-03	3.696428e+03
1.711965e+01	2.378415e-03	3.891054e+03
1.760123e+01	2.322589e-03	4.095970e+03
1.809636e+01	2.268219e-03	4.311708e+03
1.860542e+01	2.215276e-03	4.538824e+03
1.912879e+01	2.163732e-03	4.777900e+03
1.966690e+01	2.113561e-03	5.029546e+03
2.022013e+01	2.064737e-03	5.294401e+03
2.078893e+01	2.017233e-03	5.573133e+03
2.137373e+01	1.971026e-03	5.866438e+03
2.197498e+01	1.926090e-03	6.175047e+03
2.259315e+01	1.882401e-03	6.499721e+03
2.322870e+01	1.839936e-03	6.841253e+03
2.388214e+01	1.798672e-03	7.200473e+03
2.455395e+01	1.758586e-03	7.578244e+03
2.524466e+01	1.719658e-03	7.975464e+03
2.595480e+01	1.681865e-03	8.393069e+03
2.668492e+01	1.645187e-03	8.832031e+03
2.743558e+01	1.609603e-03	9.293361e+03
2.820735e+01	1.575095e-03	9.778112e+03
2.900083e+01	1.541642e-03	1.028735e+04
2.981664e+01	1.509227e-03	1.082222e+04
3.065539e+01	1.476542e-03	1.138408e+04
3.151774e+01	1.443401e-03	1.197476e+04
3.240435e+01	1.411027e-03	1.259607e+04
3.331589e+01	1.379403e-03	1.324951e+04
3.425308e+01	1.348513e-03	1.393671e+04
3.521663e+01	1.318340e-03	1.465942e+04
3.620729e+01	1.288869e-03	1.541947e+04
3.722582e+01	1.260084e-03	1.621875e+04
3.827299e+01	1.231971e-03	1.705928e+04
3.934963e+01	1.204514e-03	1.794316e+04
4.045655e+01	1.177698e-03	1.887261e+04
4.159461e+01	1.151511e-03	1.984995e+04
4.276468e+01	1.125937e-03	2.087762e+04
4.396766e+01	1.100963e-03	2.195819e+04
4.520449e+01	1.076576e-03	2.309433e+04
4.647611e+01	1.052762e-03	2.428887e+04
4.778350e+01	1.029509e-03	2.554478e+04
4.912767e+01	1.006805e-03	2.686516e+04
5.050965e+01	9.846366e-04	2.825327e+04
