# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 50 MeV
50.000000	0.000000	0.000000
49.995623	0.027000	0.251747
49.991246	0.054000	0.503495
49.986869	0.081000	0.755242
49.982491	0.108000	1.006989
49.978113	0.135000	1.258736
49.973735	0.162000	1.510484
49.969356	0.189000	1.762231
49.964977	0.216000	2.013978
49.960598	0.243000	2.265726
49.956218	0.270000	2.517473
49.951838	0.297000	2.769220
49.947457	0.324000	3.020967
49.943077	0.351000	3.272715
49.938696	0.378000	3.524462
49.934314	0.405000	3.776209
49.929933	0.432000	4.027956
49.925550	0.459000	4.279704
49.921168	0.486000	4.531451
49.916785	0.513000	4.783198
49.912402	0.540000	5.034946
49.908019	0.567000	5.286693
49.903635	0.594000	5.538440
49.899251	0.621000	5.790187
49.894867	0.648000	6.041935
49.890482	0.675000	6.293682
49.886097	0.702000	6.545429
49.881711	0.729000	6.797177
49.877326	0.756000	7.048924
49.872940	0.783000	7.300671
49.868553	0.810000	7.552418
49.864166	0.837000	7.804166
49.859779	0.864000	8.055913
49.855392	0.891000	8.307660
49.851004	0.918000	8.559408
49.846616	0.945000	8.811155
49.842227	0.972000	9.062902
49.837839	0.999000	9.314649
49.833450	1.026000	9.566397
49.829060	1.053000	9.818144
49.824670	1.080000	10.069891
49.820280	1.107000	10.321638
49.815890	1.134000	10.573386
49.811499	1.161000	10.825133
49.807108	1.188000	11.076880
49.802716	1.215000	11.328628
49.798324	1.242000	11.580375
49.793932	1.269000	11.832122
49.789540	1.296000	12.083869
49.785147	1.323000	12.335617
49.780754	1.350000	12.587364
49.776360	1.377000	12.839111
49.771966	1.404000	13.090859
49.767572	1.431000	13.342606
49.763178	1.458000	13.594353
49.758783	1.485000	13.846100
49.754388	1.512000	14.097848
49.749992	1.539000	14.349595
49.745596	1.566000	14.601342
49.741200	1.593000	14.853089
49.736803	1.620000	15.104837
49.732407	1.647000	15.356584
49.728009	1.674000	15.608331
49.723612	1.701000	15.860079
49.719214	1.728000	16.111826
49.714816	1.755000	16.363573
49.710417	1.782000	16.615320
49.706018	1.809000	16.867068
49.701619	1.836000	17.118815
49.697219	1.863000	17.370562
49.692819	1.890000	17.622310
49.688419	1.917000	17.874057
49.684018	1.944000	18.125804
49.679617	1.971000	18.377551
49.675216	1.998000	18.629299
49.670814	2.025000	18.881046
49.666412	2.052000	19.132793
49.662010	2.079000	19.384541
49.657607	2.106000	19.636288
49.653204	2.133000	19.888035
49.648801	2.160000	20.139782
49.644397	2.187000	20.391530
49.639993	2.214000	20.643277
49.635589	2.241000	20.895024
49.631184	2.268000	21.146771
49.626779	2.295000	21.398519
49.622374	2.322000	21.650266
49.617968	2.349000	21.902013
49.613562	2.376000	22.153761
49.609156	2.403000	22.405508
49.604749	2.430000	22.657255
