# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 50 MeV
50.000000	0.000000	0.000000
49.996808	0.020000	0.200813
49.993616	0.040000	0.401627
49.990424	0.060000	0.602440
49.987232	0.080000	0.803253
49.984039	0.100000	1.004067
49.980846	0.120000	1.204880
49.977653	0.140000	1.405693
49.974460	0.160000	1.606507
49.971267	0.180000	1.807320
49.968074	0.200000	2.008133
49.964880	0.220000	2.208947
49.961686	0.240000	2.409760
49.958492	0.260000	2.610573
49.955298	0.280000	2.811387
49.952104	0.300000	3.012200
49.948909	0.320000	3.213013
49.945715	0.340000	3.413827
49.942520	0.360000	3.614640
49.939325	0.380000	3.815453
49.936130	0.400000	4.016267
49.932934	0.420000	4.217080
49.929739	0.440000	4.417894
49.926543	0.460000	4.618707
49.923347	0.480000	4.819520
49.920151	0.500000	5.020334
49.916954	0.520000	5.221147
49.913758	0.540000	5.421960
49.910561	0.560000	5.622774
49.907365	0.580000	5.823587
49.904168	0.600000	6.024400
49.900970	0.620000	6.225214
49.897773	0.640000	6.426027
49.894575	0.660000	6.626840
49.891378	0.680000	6.827654
49.888180	0.700000	7.028467
49.884982	0.720000	7.229280
49.881783	0.740000	7.430094
49.878585	0.760000	7.630907
49.875386	0.780000	7.831720
49.872188	0.800000	8.032534
49.868989	0.820000	8.233347
49.865790	0.840000	8.434160
49.862590	0.860000	8.634974
49.859391	0.880000	8.835787
49.856191	0.900000	9.036600
49.852991	0.920000	9.237414
49.849791	0.940000	9.438227
49.846591	0.960000	9.639040
49.843390	0.980000	9.839854
49.840190	1.000000	10.040667
49.836989	1.020000	10.241480
49.833788	1.040000	10.442294
49.830587	1.060000	10.643107
49.827386	1.080000	10.843920
49.824184	1.100000	11.044734
49.820983	1.120000	11.245547
49.817781	1.140000	11.446360
49.814579	1.160000	11.647174
49.811377	1.180000	11.847987
49.808174	1.200000	12.048801
49.804972	1.220000	12.249614
49.801769	1.240000	12.450427
49.798566	1.260000	12.651241
49.795363	1.280000	12.852054
49.792160	1.300000	13.052867
49.788956	1.320000	13.253681
49.785752	1.340000	13.454494
49.782549	1.360000	13.655307
49.779345	1.380000	13.856121
49.776140	1.400000	14.056934
49.772936	1.420000	14.257747
49.769732	1.440000	14.458561
49.766527	1.460000	14.659374
49.763322	1.480000	14.860187
49.760117	1.500000	15.061001
49.756912	1.520000	15.261814
49.753706	1.540000	15.462627
49.750500	1.560000	15.663441
49.747295	1.580000	15.864254
49.744089	1.600000	16.065067
49.740883	1.620000	16.265881
49.737676	1.640000	16.466694
49.734470	1.660000	16.667507
49.731263	1.680000	16.868321
49.728056	1.700000	17.069134
49.724849	1.720000	17.269947
49.721642	1.740000	17.470761
49.718434	1.760000	17.671574
49.715227	1.780000	17.872387
49.712019	1.800000	18.073201
49.708811	1.820000	18.274014
49.705603	1.840000	18.474827
49.702394	1.860000	18.675641
49.699186	1.880000	18.876454
49.695977	1.900000	19.077267
49.692768	1.920000	19.278081
49.689559	1.940000	19.478894
49.686350	1.960000	19.679708
49.683141	1.980000	19.880521
49.679931	2.000000	20.081334
49.676721	2.020000	20.282148
49.673511	2.040000	20.482961
49.670301	2.060000	20.683774
49.667091	2.080000	20.884588
49.663880	2.100000	21.085401
49.660670	2.120000	21.286214
49.657459	2.140000	21.487028
49.654248	2.160000	21.687841
49.651037	2.180000	21.888654
49.647825	2.200000	22.089468
49.644614	2.220000	22.290281
49.641402	2.240000	22.491094
49.638190	2.260000	22.691908
49.634978	2.280000	22.892721
49.631765	2.300000	23.093534
49.628553	2.320000	23.294348
49.625340	2.340000	23.495161
49.622127	2.360000	23.695974
49.618914	2.380000	23.896788
49.615701	2.400000	24.097601
49.612488	2.420000	24.298414
49.609274	2.440000	24.499228
49.606060	2.460000	24.700041
49.602846	2.480000	24.900854
49.599632	2.500000	25.101668
49.596418	2.520000	25.302481
49.593203	2.540000	25.503294
49.589989	2.560000	25.704108
49.586774	2.580000	25.904921
49.583559	2.600000	26.105734
49.580344	2.620000	26.306548
49.577128	2.640000	26.507361
49.573913	2.660000	26.708174
49.570697	2.680000	26.908988
49.567481	2.700000	27.109801
49.564265	2.720000	27.310614
49.561048	2.740000	27.511428
49.557832	2.760000	27.712241
49.554615	2.780000	27.913055
49.551398	2.800000	28.113868
49.548181	2.820000	28.314681
49.544964	2.840000	28.515495
49.541747	2.860000	28.716308
49.538529	2.880000	28.917121
49.535311	2.900000	29.117935
49.532093	2.920000	29.318748
49.528875	2.940000	29.519561
49.525657	2.960000	29.720375
49.522438	2.980000	29.921188
49.519220	3.000000	30.122001
49.516001	3.020000	30.322815
49.512782	3.040000	30.523628
49.509563	3.060000	30.724441
49.506343	3.080000	30.925255
49.503124	3.100000	31.126068
49.499904	3.120000	31.326881
49.496684	3.140000	31.527695
49.493464	3.160000	31.728508
49.490243	3.180000	31.929321
49.487023	3.200000	32.130135
49.483802	3.220000	32.330948
49.480581	3.240000	32.531761
49.477360	3.260000	32.732575
49.474139	3.280000	32.933388
49.470917	3.300000	33.134201
49.467696	3.320000	33.335015
49.464474	3.340000	33.535828
49.461252	3.360000	33.736641
49.458030	3.380000	33.937455
49.454808	3.400000	34.138268
49.451585	3.420000	34.339081
49.448362	3.440000	34.539895
49.445139	3.460000	34.740708
49.441916	3.480000	34.941521
49.438693	3.500000	35.142335
49.435470	3.520000	35.343148
49.432246	3.540000	35.543962
49.429022	3.560000	35.744775
49.425798	3.580000	35.945588
49.422574	3.600000	36.146402
49.419350	3.620000	36.347215
49.416125	3.640000	36.548028
49.412900	3.660000	36.748842
49.409675	3.680000	36.949655
49.406450	3.700000	37.150468
49.403225	3.720000	37.351282
49.400000	3.740000	37.552095
49.396774	3.760000	37.752908
49.393548	3.780000	37.953722
49.390322	3.800000	38.154535
49.387096	3.820000	38.355348
49.383869	3.840000	38.556162
