# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 30 MeV
30.000000	0.000000	0.000000
29.999543	0.015000	0.210854
29.999086	0.030000	0.421708
29.998630	0.045000	0.632562
29.998173	0.060000	0.843416
29.997716	0.075000	1.054270
29.997259	0.090000	1.265124
29.996802	0.105000	1.475978
29.996345	0.120000	1.686832
29.995888	0.135000	1.897686
29.995432	0.150000	2.108540
29.994975	0.165000	2.319394
29.994518	0.180000	2.530248
29.994061	0.195000	2.741102
29.993604	0.210000	2.951956
29.993147	0.225000	3.162810
29.992690	0.240000	3.373664
29.992233	0.255000	3.584518
29.991776	0.270000	3.795372
29.991319	0.285000	4.006226
29.990862	0.300000	4.217080
29.990406	0.315000	4.427934
29.989949	0.330000	4.638788
29.989492	0.345000	4.849642
29.989035	0.360000	5.060496
29.988578	0.375000	5.271350
29.988121	0.390000	5.482204
29.987664	0.405000	5.693058
29.987207	0.420000	5.903912
29.986750	0.435000	6.114766
29.986293	0.450000	6.325620
29.985836	0.465000	6.536474
29.985379	0.480000	6.747328
29.984922	0.495000	6.958182
29.984465	0.510000	7.169036
29.984008	0.525000	7.379890
29.983551	0.540000	7.590744
29.983094	0.555000	7.801598
29.982637	0.570000	8.012452
29.982180	0.585000	8.223306
29.981723	0.600000	8.434160
29.981266	0.615000	8.645014
29.980808	0.630000	8.855868
29.980351	0.645000	9.066722
29.979894	0.660000	9.277576
29.979437	0.675000	9.488430
29.978980	0.690000	9.699284
29.978523	0.705000	9.910138
29.978066	0.720000	10.120992
29.977609	0.735000	10.331846
29.977152	0.750000	10.542700
29.976695	0.765000	10.753554
29.976237	0.780000	10.964408
29.975780	0.795000	11.175262
29.975323	0.810000	11.386116
29.974866	0.825000	11.596970
29.974409	0.840000	11.807825
29.973952	0.855000	12.018679
29.973495	0.870000	12.229533
29.973037	0.885000	12.440387
29.972580	0.900000	12.651241
29.972123	0.915000	12.862095
29.971666	0.930000	13.072949
29.971209	0.945000	13.283803
29.970752	0.960000	13.494657
29.970294	0.975000	13.705511
29.969837	0.990000	13.916365
29.969380	1.005000	14.127219
29.968923	1.020000	14.338073
29.968465	1.035000	14.548927
29.968008	1.050000	14.759781
29.967551	1.065000	14.970635
29.967094	1.080000	15.181489
29.966636	1.095000	15.392343
29.966179	1.110000	15.603197
29.965722	1.125000	15.814051
29.965265	1.140000	16.024905
29.964807	1.155000	16.235759
29.964350	1.170000	16.446613
29.963893	1.185000	16.657467
29.963436	1.200000	16.868321
29.962978	1.215000	17.079175
29.962521	1.230000	17.290029
29.962064	1.245000	17.500883
29.961606	1.260000	17.711737
29.961149	1.275000	17.922591
29.960692	1.290000	18.133445
29.960234	1.305000	18.344299
29.959777	1.320000	18.555153
29.959320	1.335000	18.766007
29.958862	1.350000	18.976861
29.958405	1.365000	19.187715
29.957948	1.380000	19.398569
29.957490	1.395000	19.609423
29.957033	1.410000	19.820277
29.956575	1.425000	20.031131
29.956118	1.440000	20.241985
29.955661	1.455000	20.452839
29.955203	1.470000	20.663693
29.954746	1.485000	20.874547
29.954288	1.500000	21.085401
29.953831	1.515000	21.296255
29.953374	1.530000	21.507109
29.952916	1.545000	21.717963
29.952459	1.560000	21.928817
29.952001	1.575000	22.139671
29.951544	1.590000	22.350525
29.951086	1.605000	22.561379
29.950629	1.620000	22.772233
29.950171	1.635000	22.983087
29.949714	1.650000	23.193941
29.949256	1.665000	23.404795
29.948799	1.680000	23.615649
29.948341	1.695000	23.826503
29.947884	1.710000	24.037357
29.947426	1.725000	24.248211
29.946969	1.740000	24.459065
29.946511	1.755000	24.669919
29.946054	1.770000	24.880773
29.945596	1.785000	25.091627
29.945139	1.800000	25.302481
29.944681	1.815000	25.513335
29.944224	1.830000	25.724189
29.943766	1.845000	25.935043
29.943309	1.860000	26.145897
29.942851	1.875000	26.356751
29.942393	1.890000	26.567605
29.941936	1.905000	26.778459
29.941478	1.920000	26.989313
29.941021	1.935000	27.200167
29.940563	1.950000	27.411021
29.940105	1.965000	27.621875
29.939648	1.980000	27.832729
29.939190	1.995000	28.043583
29.938733	2.010000	28.254437
29.938275	2.025000	28.465291
29.937817	2.040000	28.676145
29.937360	2.055000	28.886999
29.936902	2.070000	29.097853
29.936444	2.085000	29.308707
29.935987	2.100000	29.519561
29.935529	2.115000	29.730415
29.935071	2.130000	29.941269
29.934614	2.145000	30.152123
29.934156	2.160000	30.362977
29.933698	2.175000	30.573831
29.933241	2.190000	30.784685
29.932783	2.205000	30.995539
29.932325	2.220000	31.206393
29.931868	2.235000	31.417247
29.931410	2.250000	31.628101
29.930952	2.265000	31.838955
29.930494	2.280000	32.049809
29.930037	2.295000	32.260663
29.929579	2.310000	32.471517
29.929121	2.325000	32.682371
29.928663	2.340000	32.893225
29.928206	2.355000	33.104079
29.927748	2.370000	33.314933
29.927290	2.385000	33.525787
29.926832	2.400000	33.736641
29.926375	2.415000	33.947495
29.925917	2.430000	34.158349
29.925459	2.445000	34.369203
29.925001	2.460000	34.580057
29.924543	2.475000	34.790911
29.924086	2.490000	35.001765
29.923628	2.505000	35.212619
29.923170	2.520000	35.423474
29.922712	2.535000	35.634328
29.922254	2.550000	35.845182
