# Energy(MeV) 	mg/cm2 	cm
# Starting Energy: 50 MeV
50.000000	0.000000	0.000000
49.997692	0.016000	0.208857
49.995383	0.032000	0.417714
49.993075	0.048000	0.626571
49.990766	0.064000	0.835428
49.988458	0.080000	1.044285
49.986149	0.096000	1.253142
49.983840	0.112000	1.461999
49.981531	0.128000	1.670856
49.979222	0.144000	1.879713
49.976913	0.160000	2.088570
49.974604	0.176000	2.297427
49.972295	0.192000	2.506284
49.969985	0.208000	2.715141
49.967676	0.224000	2.923998
49.965366	0.240000	3.132855
49.963057	0.256000	3.341712
49.960747	0.272000	3.550569
49.958437	0.288000	3.759426
49.956127	0.304000	3.968283
49.953817	0.320000	4.177140
49.951507	0.336000	4.385997
49.949197	0.352000	4.594854
49.946886	0.368000	4.803711
49.944576	0.384000	5.012568
49.942265	0.400000	5.221425
49.939955	0.416000	5.430282
49.937644	0.432000	5.639139
49.935333	0.448000	5.847996
49.933023	0.464000	6.056853
49.930712	0.480000	6.265710
49.928400	0.496000	6.474567
49.926089	0.512000	6.683424
49.923778	0.528000	6.892281
49.921467	0.544000	7.101138
49.919155	0.560000	7.309995
49.916844	0.576000	7.518852
49.914532	0.592000	7.727709
49.912220	0.608000	7.936566
49.909909	0.624000	8.145423
49.907597	0.640000	8.354280
49.905285	0.656000	8.563137
49.902973	0.672000	8.771994
49.900660	0.688000	8.980851
49.898348	0.704000	9.189708
49.896036	0.720000	9.398565
49.893723	0.736000	9.607422
49.891411	0.752000	9.816279
49.889098	0.768000	10.025136
49.886785	0.784000	10.233993
49.884473	0.800000	10.442850
49.882160	0.816000	10.651707
49.879847	0.832000	10.860564
49.877534	0.848000	11.069421
49.875220	0.864000	11.278278
49.872907	0.880000	11.487135
49.870594	0.896000	11.695992
49.868280	0.912000	11.904849
49.865967	0.928000	12.113706
49.863653	0.944000	12.322563
49.861339	0.960000	12.531420
49.859025	0.976000	12.740277
49.856711	0.992000	12.949134
49.854397	1.008000	13.157991
49.852083	1.024000	13.366848
